Parsing Technique,LLM Model,System,Edit Distance,ROUGE-L,Cosine Similarity,BLEU
Syntactic,gpt3.5-turbo,Apache,0.04248366013071895,0.976190471207483,0.9744412256083841,0.9189028531720987
Syntactic,gpt3.5-turbo,Apache,0.04248366013071895,0.976190471207483,0.9744412256083841,0.9189028531720987
Syntactic,gpt3.5-turbo,Apache,0.04248366013071895,0.976190471207483,0.9744412256083841,0.9189028531720987
Syntactic,gpt3.5-turbo,Apache,0.04248366013071895,0.976190471207483,0.9744412256083841,0.9189028531720987
Syntactic,gpt3.5-turbo,Apache,0.04248366013071895,0.976190471207483,0.9744412256083841,0.9189028531720987
Syntactic,gpt3.5-turbo,Apache,0.04248366013071895,0.976190471207483,0.9744412256083841,0.9189028531720987
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,HPC,0.44529059334798743,0.64705844627626,0.6999536681495231,0.3471875063275634
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
Syntactic,gpt3.5-turbo,Linux,0.06353742542858719,0.888313948385779,0.9440759520720629,0.6565944648943287
